,0,1,2,3
0,React,-3.7057836055755615,19.19415283203125,-31.18695068359375
1,2018,4.758552551269531,-24.712217330932617,33.33431625366211
2,2017,1.7958143949508667,-26.02983856201172,31.133480072021484
3,I,-3.4888503551483154,32.61417770385742,-5.936795234680176
4,MongoDB,-3.6597275733947754,19.96263313293457,-32.90800094604492
5,2016,0.7123231291770935,-26.34208106994629,31.038719177246094
6,Software,-8.53769302368164,25.93099594116211,19.440244674682617
7,Lambda,-12.74808406829834,-31.670429229736328,9.656529426574707
8,team,-12.358367919921875,30.504962921142578,7.440096378326416
9,Redux,-4.380926132202148,20.242782592773438,-32.544185638427734
10,Express,-3.405606508255005,19.486995697021484,-32.467403411865234
11,Python,-5.073829174041748,24.615001678466797,-33.34683609008789
12,School,-13.083441734313965,-33.94215393066406,8.811760902404785
13,development,-3.9322402477264404,34.22040557861328,-9.049339294433594
14,Node,-3.091494560241699,20.352798461914062,-32.403141021728516
15,app,-18.41769027709961,21.915498733520508,-24.275922775268555
16,JavaScript,-2.3828482627868652,22.044414520263672,-28.595075607299805
17,project,-16.029298782348633,29.621599197387695,-18.840988159179688
18,Django,-5.6005778312683105,24.705163955688477,-33.081077575683594
19,data,-11.680907249450684,34.63824462890625,-6.3726420402526855
20,2015,-1.2243595123291016,-26.095861434936523,31.780197143554688
21,end,-9.76406478881836,23.302032470703125,-24.991304397583008
22,web,-10.697360038757324,30.345911026000977,-20.793434143066406
23,Web,-14.377460479736328,-16.89156150817871,-25.1978702545166
24,Science,-10.647947311401367,-24.554344177246094,21.793298721313477
25,C,2.573045015335083,12.933359146118164,17.94004249572754
26,University,-5.82513427734375,-27.513813018798828,24.549772262573242
27,Development,-11.637042045593262,27.579238891601562,20.42152214050293
28,|,3.1144802570343018,-33.40735626220703,23.179933547973633
29,stack,-8.050726890563965,30.153837203979492,-23.22586441040039
30,Engineer,4.531077861785889,-20.110445022583008,33.90135192871094
31,software,-3.5160555839538574,35.70480728149414,-10.697999954223633
32,programming,-1.3795679807662964,37.16895294189453,-8.326239585876465
33,Computer,-11.042304992675781,-24.664913177490234,21.881141662597656
34,experience,-6.170546531677246,39.143245697021484,-6.013044357299805
35,projects,-5.4960198402404785,35.58428192138672,-5.672441005706787
36,'s,-15.957718849182129,24.421772003173828,-25.03631019592285
37,2014,-1.2801493406295776,-25.75931167602539,32.238975524902344
38,application,-12.815967559814453,28.252315521240234,-22.25940704345703
39,Full,-14.945100784301758,-16.924283981323242,-26.848207473754883
40,Built,-18.589487075805664,23.52528190612793,-26.227203369140625
41,Current,3.140162706375122,-24.05167007446289,33.380340576171875
42,CSS,-2.4853744506835938,23.06534767150879,-28.33450698852539
43,including,-9.37100887298584,16.501386642456055,-33.278564453125
44,built,-13.728924751281738,26.384769439697266,-24.098711013793945
45,June,1.6044100522994995,-25.72837257385254,30.45197868347168
46,May,1.6332377195358276,-24.983596801757812,35.236751556396484
47,HTML,-2.8524153232574463,24.40978240966797,-28.2369384765625
48,work,2.3727529048919678,37.821556091308594,-0.2022923082113266
49,A,-21.751720428466797,25.34153938293457,-20.538166046142578
50,client,-5.387598037719727,39.88987350463867,-6.539607524871826
51,Git,-1.4037120342254639,34.91188049316406,-11.866232872009277
52,2012,-1.2850925922393799,-25.24382209777832,33.867855072021484
53,CS,-11.27833366394043,27.264142990112305,19.861257553100586
54,Developer,5.939651012420654,-20.699111938476562,32.55210876464844
55,Jan,3.5139284133911133,-22.877988815307617,33.72223663330078
56,Native,-3.4596147537231445,19.974571228027344,-30.464149475097656
57,students,-5.403900146484375,34.68115997314453,6.986328601837158
58,Data,-15.179227828979492,12.847983360290527,31.221546173095703
59,Javascript,-3.3205525875091553,23.712533950805664,-31.071548461914062
60,API,-11.031900405883789,23.32821273803711,-27.74224090576172
61,The,9.522790908813477,36.22367477416992,-17.717449188232422
62,month,-10.209569931030273,26.88624382019043,18.103618621826172
63,clients,-7.279182434082031,38.02671813964844,-5.4272308349609375
64,time,-2.916179895401001,35.706424713134766,-1.6898605823516846
65,Stack,-14.66724967956543,-16.844627380371094,-26.29782485961914
66,Mocha,-6.0913543701171875,22.812824249267578,-34.51426696777344
67,’s,-13.03018569946289,-20.93000030517578,12.491416931152344
68,Node.js,-3.5601797103881836,21.906782150268555,-31.38477897644043
69,user,-12.649860382080078,24.9069766998291,-14.217597961425781
70,based,-10.518603324890137,29.625974655151367,-19.115476608276367
71,server,-9.975481033325195,23.352657318115234,-33.59745788574219
72,testing,-5.108615398406982,39.78315734863281,-6.548166751861572
73,July,3.963146924972534,-24.09400177001953,30.24432373046875
74,6,-10.233402252197266,26.910388946533203,18.019994735717773
75,Chai,-6.126927852630615,22.915573120117188,-34.633304595947266
76,program,-1.4265607595443726,36.170291900634766,-4.092293739318848
77,MERN,-8.05058479309082,30.14912986755371,-23.22620391845703
78,Experience,15.264119148254395,-2.440617084503174,22.91650390625
79,CA,0.959174394607544,-32.327392578125,23.44040870666504
80,customer,-17.6013126373291,31.76759147644043,-4.150790214538574
81,SQL,-5.89619779586792,24.56557273864746,-31.750843048095703
82,curriculum,2.8922696113586426,38.17837142944336,0.5137526392936707
83,San,0.9076263904571533,-32.29637145996094,23.435108184814453
84,Manager,-1.040846586227417,-16.335323333740234,33.525333404541016
85,Engineering,-9.708677291870117,-24.289249420166016,21.595340728759766
86,Worked,-20.325790405273438,27.76404571533203,-2.405318021774292
87,EXPERIENCE,9.883316040039062,-23.425426483154297,23.594106674194336
88,2013,0.5758629441261292,-24.05292320251465,32.28095626831055
